year,1963,1983,1989,1992,1995,1998,2001,2004,2007,2010,2013,2016
73,102392,207459,248570,224224,229107,284026,353074,375621,391178,300428,293556,324800
74,106306,215300,265885,237003,241948,296124,367029,397432,411674,315682,309435,344000
75,110976,223135,275774,248206,252111,308400,390590,418658,431650,331930,326695,368600
76,115911,232086,290141,259325,261759,322683,407946,440673,450202,356800,345936,394500
77,119393,245382,303799,272524,271577,337880,425532,461403,475481,377967,368311,413900
78,124469,255468,320928,284095,281411,360307,451301,484931,508369,399355,391407,438550
79,129466,263596,341639,297009,293469,383619,481785,519269,537087,430481,414504,469900
80,136295,275937,352834,310090,308816,403980,514613,554879,575418,459485,441622,499350
81,141587,291601,371306,323691,321422,419325,539502,592396,609579,480708,466059,542500
82,149223,304809,386233,335011,338570,447654,567547,629939,650804,512044,498745,583600
83,156674,324322,406384,352184,353807,472899,598573,669339,676860,550012,546733,624700
84,161892,342884,430267,371353,377094,500033,633122,707366,718433,594114,597113,674010
85,174069,358760,461241,396409,404342,525543,671329,752513,759310,639985,640316,739000
86,186036,381989,494453,421615,439452,555731,725049,792002,798625,691825,684654,809400
87,197081,409881,541379,455609,476707,590921,772333,847770,849890,752839,738787,883000
88,209110,439505,585022,483331,511629,628988,822015,917464,903947,840160,802303,979930
89,221675,481377,617973,529434,548571,671997,891993,989192,964221,937319,875099,1072550
90,238860,520133,686637,600223,597728,728138,1009987,1061684,1054141,1052494,971507,1186570
91,258679,575612,743433,650870,654746,797337,1112319,1178878,1158941,1176844,1059666,1317500
92,281660,642318,837491,707220,742678,865356,1217740,1281956,1275647,1325510,1177625,1445700
93,313318,714154,937128,808381,813696,974392,1357290,1413306,1393208,1544222,1362120,1686700
94,349030,828443,1057943,934681,923943,1111757,1525752,1569226,1732275,1818487,1585323,2044300
95,409182,959196,1293713,1120282,1071773,1329092,1784068,1818012,2200426,2060112,1929816,2387250
96,466768,1146953,1563087,1289766,1241059,1590543,2094058,2267587,2762677,2428628,2405155,2838000
97,600177,1450927,1907823,1714132,1573678,1966490,2788419,2794360,3687120,3147424,3178999,3693600
98,758199,1972661,2516019,2355443,2068379,2971055,4362268,4207818,5371453,4725281,4516239,5793500
99,1457201,3323063,4330717,3893734,3851431,5609395,7946202,8083447,9697843,7534142,8125517,10400000
100,1599801,4000213,4834087,4590321,4490021,5800321,8132983,8093976,9920123,8012367,9012323,10503200
